company,date,total debt,equity,DERatio
BRO,6/30/06,$0.87 ,$0.85 ,1.02
BRO,9/30/06,$0.91 ,$0.90 ,1.01
BRO,12/31/06,$0.88 ,$0.93 ,0.95
BRO,3/31/07,$0.84 ,$0.98 ,0.86
BRO,6/30/07,$0.86 ,$1.02 ,0.84
BRO,9/30/07,$0.84 ,$1.07 ,0.79
BRO,12/31/07,$0.86 ,$1.10 ,0.79
BRO,3/31/08,$0.84 ,$1.14 ,0.74
BRO,6/30/08,$0.90 ,$1.17 ,0.77
BRO,9/30/08,$0.89 ,$1.22 ,0.73
BRO,12/31/08,$0.88 ,$1.24 ,0.71
BRO,3/31/09,$0.87 ,$1.28 ,0.68
BRO,6/30/09,$0.92 ,$1.31 ,0.7
BRO,9/30/09,$0.88 ,$1.36 ,0.65
BRO,12/31/09,$0.85 ,$1.37 ,0.62
BRO,3/31/10,$0.84 ,$1.41 ,0.6
BRO,6/30/10,$0.90 ,$1.44 ,0.62
BRO,9/30/10,$0.91 ,$1.48 ,0.61
BRO,12/31/10,$0.89 ,$1.51 ,0.59
BRO,3/31/11,$0.90 ,$1.54 ,0.58
BRO,6/30/11,$0.95 ,$1.57 ,0.61
BRO,9/30/11,$0.95 ,$1.62 ,0.58
BRO,12/31/11,$0.96 ,$1.64 ,0.59
BRO,3/31/12,$1.33 ,$1.69 ,0.79
BRO,6/30/12,$1.38 ,$1.72 ,0.8
BRO,9/30/12,$1.37 ,$1.77 ,0.77
BRO,12/31/12,$1.32 ,$1.81 ,0.73
BRO,3/31/13,$1.37 ,$1.86 ,0.74
BRO,6/30/13,$1.42 ,$1.90 ,0.75
BRO,9/30/13,$1.59 ,$1.97 ,0.81
BRO,12/31/13,$1.64 ,$2.01 ,0.82
BRO,3/31/14,$1.62 ,$2.05 ,0.79
BRO,6/30/14,$2.85 ,$2.08 ,1.37
BRO,9/30/14,$2.84 ,$2.11 ,1.35
BRO,12/31/14,$2.84 ,$2.11 ,1.35
BRO,3/31/15,$2.78 ,$2.06 ,1.35
BRO,6/30/15,$2.91 ,$2.11 ,1.38
BRO,9/30/15,$2.82 ,$2.19 ,1.29
BRO,12/31/15,$2.86 ,$2.15 ,1.33
BRO,3/31/16,$2.79 ,$2.20 ,1.27
BRO,6/30/16,$2.96 ,$2.25 ,1.31
BRO,9/30/16,$3.20 ,$2.33 ,1.38
BRO,12/31/16,$2.90 ,$2.36 ,1.23
BRO,3/31/17,$2.78 ,$2.42 ,1.15
BRO,6/30/17,$2.82 ,$2.46 ,1.15
BRO,9/30/17,$4.93 ,$2.48 ,1.99
BRO,12/31/17,$3.17 ,$2.58 ,1.23
BRO,3/31/18,$2.84 ,$2.77 ,1.03
BRO,6/30/18,$2.87 ,$2.83 ,1.01
BRO,9/30/18,$2.86 ,$2.94 ,0.97
BRO,12/31/18,$3.69 ,$3.00 ,1.23
BRO,3/31/19,$3.71 ,$3.10 ,1.2
BRO,6/30/19,$3.98 ,$3.18 ,1.25
BRO,9/30/19,$4.37 ,$3.32 ,1.32
BRO,12/31/19,$4.27 ,$3.35 ,1.28
BRO,3/31/20,$4.10 ,$3.48 ,1.18
BRO,6/30/20,$4.62 ,$3.58 ,1.29
BRO,9/30/20,$5.09 ,$3.70 ,1.38
BRO,12/31/20,$5.21 ,$3.75 ,1.39
BSIG,12/31/11,$0.00 ,$0.00 ,0
BSIG,12/31/12,$6.19 ,$2.34 ,2.64
BSIG,9/30/13,$0.00 ,$0.00 ,0
BSIG,12/31/13,$0.00 ,,0
BSIG,3/31/14,$0.00 ,$0.00 ,0
BSIG,6/30/14,$0.00 ,$0.00 ,0
BSIG,9/30/14,$5.27 ,$2.50 ,2.11
BSIG,12/31/14,$5.28 ,$2.50 ,2.12
BSIG,3/31/15,$0.87 ,$0.06 ,13.81
BSIG,6/30/15,$0.87 ,$0.11 ,8.23
BSIG,9/30/15,$0.79 ,$0.12 ,6.34
BSIG,12/31/15,$0.85 ,$0.17 ,5.11
BSIG,3/31/16,$0.76 ,$0.18 ,4.33
BSIG,6/30/16,$0.75 ,$0.19 ,4.02
BSIG,9/30/16,$1.12 ,$0.21 ,5.25
BSIG,12/31/16,$1.13 ,$0.17 ,6.84
BSIG,3/31/17,$1.10 ,$0.18 ,6.03
BSIG,6/30/17,$1.16 ,$0.12 ,9.71
BSIG,9/30/17,$1.31 ,$0.13 ,9.91
BSIG,12/31/17,$1.36 ,$0.13 ,10.72
BSIG,3/31/18,$1.26 ,$0.17 ,7.35
BSIG,6/30/18,$1.35 ,$0.15 ,9.04
BSIG,9/30/18,$1.47 ,$0.10 ,14.53
BSIG,12/31/18,$1.42 ,$0.13 ,10.58
BSIG,3/31/19,$1.35 ,$0.01 ,160.42
BSIG,6/30/19,$1.40 ,$0.02 ,64.37
BSIG,9/30/19,$1.36 ,$0.07 ,19.23
BSIG,12/31/19,$1.31 ,$0.12 ,11.4
BSIG,3/31/20,$1.30 ,$0.12 ,10.93
BSIG,9/30/20,$0.00 ,,0
BSIG,12/31/20,$1.00 ,$0.38 ,2.59
BX,6/30/06,$0.00 ,,0
BX,9/30/06,$0.00 ,,0
BX,3/31/07,$0.00 ,,0
BX,6/30/07,$14.22 ,$4.56 ,3.12
BX,9/30/07,$8.65 ,$4.32 ,2
BX,12/31/07,$8.95 ,$4.23 ,2.12
BX,3/31/08,$9.07 ,$4.15 ,2.19
BX,6/30/08,$9.49 ,$4.00 ,2.37
BX,9/30/08,$8.14 ,$3.81 ,2.13
BX,12/31/08,$3.73 ,$5.76 ,0.65
BX,3/31/09,$2.51 ,$5.16 ,0.49
BX,6/30/09,$2.50 ,$5.20 ,0.48
BX,9/30/09,$3.31 ,$5.42 ,0.61
BX,12/31/09,$3.39 ,$6.02 ,0.56
BX,3/31/10,$7.04 ,$6.45 ,1.09
BX,6/30/10,$9.89 ,$6.58 ,1.5
BX,9/30/10,$10.67 ,$7.07 ,1.51
BX,12/31/10,$11.19 ,$7.65 ,1.46
BX,3/31/11,$11.49 ,$7.76 ,1.48
BX,6/30/11,$13.83 ,$8.51 ,1.63
BX,9/30/11,$14.22 ,$7.85 ,1.81
BX,12/31/11,$13.75 ,$8.16 ,1.69
BX,3/31/12,$17.14 ,$9.41 ,1.82
BX,6/30/12,$17.14 ,$9.01 ,1.9
BX,9/30/12,$18.41 ,$9.39 ,1.96
BX,12/31/12,$19.27 ,$9.66 ,2
BX,3/31/13,$18.25 ,$9.73 ,1.88
BX,6/30/13,$17.72 ,$10.02 ,1.77
BX,9/30/13,$17.65 ,$10.39 ,1.7
BX,12/31/13,$17.25 ,$12.43 ,1.39
BX,3/31/14,$17.43 ,$12.60 ,1.38
BX,6/30/14,$16.53 ,$13.53 ,1.22
BX,9/30/14,$16.57 ,$13.95 ,1.19
BX,12/31/14,$16.61 ,$14.89 ,1.12
BX,3/31/15,$16.96 ,$15.44 ,1.1
BX,6/30/15,$10.97 ,$13.72 ,0.8
BX,9/30/15,$11.13 ,$12.49 ,0.89
BX,12/31/15,$10.48 ,$12.05 ,0.87
BX,3/31/16,$10.32 ,$11.73 ,0.88
BX,6/30/16,$11.10 ,$11.94 ,0.93
BX,9/30/16,$12.25 ,$12.16 ,1.01
BX,12/31/16,$14.07 ,$12.33 ,1.14
BX,3/31/17,$15.42 ,$12.91 ,1.19
BX,6/30/17,$17.06 ,$13.07 ,1.31
BX,9/30/17,$18.50 ,$13.26 ,1.4
BX,12/31/17,$20.90 ,$13.51 ,1.55
BX,3/31/18,$14.62 ,$13.32 ,1.1
BX,6/30/18,$15.60 ,$14.48 ,1.08
BX,9/30/18,$15.91 ,$14.55 ,1.09
BX,12/31/18,$15.31 ,$13.61 ,1.13
BX,3/31/19,$15.87 ,$14.01 ,1.13
BX,6/30/19,$17.01 ,$13.96 ,1.22
BX,9/30/19,$17.85 ,$14.54 ,1.23
BX,12/31/19,$17.57 ,$15.02 ,1.17
BX,3/31/20,$15.44 ,$11.51 ,1.34
BX,6/30/20,$16.42 ,$12.43 ,1.32
BX,9/30/20,$11.61 ,$13.44 ,0.86
BX,12/31/20,$11.74 ,$14.53 ,0.81
BXS,3/31/05,$9.91 ,$0.92 ,10.75
BXS,6/30/05,$9.90 ,$0.94 ,10.57
BXS,9/30/05,$10.12 ,$0.94 ,10.76
BXS,12/31/05,$10.79 ,$0.98 ,11.04
BXS,3/31/06,$10.89 ,$1.00 ,10.92
BXS,6/30/06,$10.82 ,$1.01 ,10.73
BXS,9/30/06,$10.83 ,$1.03 ,10.5
BXS,12/31/06,$11.01 ,$1.03 ,10.73
BXS,3/31/07,$11.84 ,$1.13 ,10.51
BXS,6/30/07,$12.07 ,$1.14 ,10.58
BXS,9/30/07,$11.97 ,$1.17 ,10.23
BXS,12/31/07,$11.99 ,$1.20 ,10.02
BXS,3/31/08,$11.93 ,$1.22 ,9.75
BXS,6/30/08,$12.17 ,$1.23 ,9.86
BXS,9/30/08,$12.06 ,$1.24 ,9.7
BXS,12/31/08,$12.24 ,$1.24 ,9.87
BXS,3/31/09,$12.20 ,$1.26 ,9.72
BXS,6/30/09,$12.02 ,$1.28 ,9.43
BXS,9/30/09,$11.99 ,$1.29 ,9.32
BXS,12/31/09,$11.89 ,$1.28 ,9.32
BXS,3/31/10,$11.97 ,$1.27 ,9.46
BXS,6/30/10,$12.18 ,$1.24 ,9.82
BXS,9/30/10,$12.35 ,$1.24 ,9.99
BXS,12/31/10,$12.39 ,$1.22 ,10.14
BXS,3/31/11,$12.34 ,$1.21 ,10.19
BXS,6/30/11,$12.12 ,$1.25 ,9.72
BXS,9/30/11,$11.93 ,$1.27 ,9.42
BXS,12/31/11,$11.73 ,$1.26 ,9.29
BXS,3/31/12,$11.92 ,$1.39 ,8.56
BXS,6/30/12,$11.73 ,$1.42 ,8.27
BXS,9/30/12,$11.79 ,$1.45 ,8.15
BXS,12/31/12,$11.95 ,$1.45 ,8.25
BXS,3/31/13,$11.93 ,$1.47 ,8.14
BXS,6/30/13,$11.76 ,$1.46 ,8.06
BXS,9/30/13,$11.44 ,$1.48 ,7.72
BXS,12/31/13,$11.52 ,$1.51 ,7.61
BXS,3/31/14,$11.59 ,$1.56 ,7.45
BXS,6/30/14,$11.40 ,$1.59 ,7.17
BXS,9/30/14,$11.46 ,$1.61 ,7.12
BXS,12/31/14,$11.72 ,$1.61 ,7.3
BXS,3/31/15,$11.99 ,$1.65 ,7.29
BXS,6/30/15,$11.96 ,$1.68 ,7.12
BXS,9/30/15,$12.14 ,$1.65 ,7.38
BXS,12/31/15,$12.14 ,$1.66 ,7.34
BXS,3/31/16,$12.25 ,$1.68 ,7.29
BXS,6/30/16,$12.42 ,$1.71 ,7.25
BXS,9/30/16,$12.89 ,$1.72 ,7.48
BXS,12/31/16,$13.00 ,$1.72 ,7.54
BXS,3/31/17,$13.16 ,$1.70 ,7.73
BXS,6/30/17,$13.15 ,$1.69 ,7.77
BXS,9/30/17,$13.06 ,$1.70 ,7.68
BXS,12/31/17,$13.59 ,$1.71 ,7.93
BXS,3/31/18,$15.13 ,$2.06 ,7.34
BXS,6/30/18,$15.15 ,$2.07 ,7.31
BXS,9/30/18,$15.13 ,$2.12 ,7.15
BXS,12/31/18,$15.80 ,$2.21 ,7.16
BXS,3/31/19,$16.09 ,$2.23 ,7.23
BXS,6/30/19,$16.61 ,$2.33 ,7.14
BXS,9/30/19,$17.36 ,$2.49 ,6.97
BXS,12/31/19,$18.37 ,$2.69 ,6.84
BXS,3/31/20,$18.35 ,$2.68 ,6.84
BXS,6/30/20,$20.50 ,$2.73 ,7.5
BXS,9/30/20,$0.00 ,,0
BXS,12/31/20,$20.89 ,$2.78 ,7.53
C,3/31/05,"$1,379.36 ",$110.54 ,12.48
C,6/30/05,"$1,434.75 ",$113.04 ,12.69
C,9/30/05,"$1,360.96 ",$111.84 ,12.17
C,12/31/05,"$1,381.50 ",$112.54 ,12.28
C,3/31/06,"$1,471.78 ",$114.42 ,12.86
C,6/30/06,"$1,511.12 ",$115.43 ,13.09
C,9/30/06,"$1,628.38 ",$117.87 ,13.82
C,12/31/06,"$1,764.54 ",$119.78 ,14.73
C,3/31/07,"$1,898.88 ",$122.08 ,15.55
C,6/30/07,"$2,093.11 ",$127.75 ,16.38
C,9/30/07,"$2,231.15 ",$127.11 ,17.55
C,12/31/07,"$2,074.03 ",$113.45 ,18.28
C,3/31/08,"$2,071.63 ",$128.22 ,16.16
C,6/30/08,"$1,963.98 ",$136.41 ,14.4
C,9/30/08,"$1,924.07 ",$126.06 ,15.26
C,12/31/08,"$1,794.45 ",$144.02 ,12.46
C,3/31/09,"$1,676.65 ",$145.93 ,11.49
C,6/30/09,"$1,694.37 ",$154.17 ,10.99
C,9/30/09,"$1,745.65 ",$142.95 ,12.21
C,12/31/09,"$1,701.67 ",$154.97 ,10.98
C,3/31/10,"$1,848.43 ",$153.78 ,12.02
C,6/30/10,"$1,780.33 ",$157.33 ,11.32
C,9/30/10,"$1,818.10 ",$165.18 ,11.01
C,12/31/10,"$1,748.11 ",$165.79 ,10.54
C,3/31/11,"$1,774.42 ",$173.39 ,10.23
C,6/30/11,"$1,777.98 ",$178.65 ,9.95
C,9/30/11,"$1,756.65 ",$179.34 ,9.8
C,12/31/11,"$1,694.31 ",$179.57 ,9.44
C,3/31/12,"$1,760.70 ",$183.72 ,9.58
C,6/30/12,"$1,730.61 ",$185.84 ,9.31
C,9/30/12,"$1,742.61 ",$188.74 ,9.23
C,12/31/12,"$1,673.66 ",$191.00 ,8.76
C,3/31/13,"$1,686.40 ",$195.34 ,8.63
C,6/30/13,"$1,686.16 ",$197.83 ,8.52
C,9/30/13,"$1,696.77 ",$202.74 ,8.37
C,12/31/13,"$1,674.25 ",$206.13 ,8.12
C,3/31/14,"$1,684.49 ",$210.24 ,8.01
C,6/30/14,"$1,696.62 ",$213.10 ,7.96
C,9/30/14,"$1,668.96 ",$213.89 ,7.8
C,12/31/14,"$1,630.49 ",$211.70 ,7.7
C,3/31/15,"$1,615.78 ",$216.02 ,7.48
C,6/30/15,"$1,608.55 ",$220.83 ,7.28
C,9/30/15,"$1,586.22 ",$222.14 ,7.14
C,12/31/15,"$1,508.12 ",$223.09 ,6.76
C,3/31/16,"$1,572.21 ",$228.76 ,6.87
C,6/30/16,"$1,585.75 ",$233.02 ,6.81
C,9/30/16,"$1,585.43 ",$232.69 ,6.81
C,12/31/16,"$1,565.93 ",$226.14 ,6.93
C,3/31/17,"$1,592.48 ",$229.15 ,6.95
C,6/30/17,"$1,632.96 ",$231.11 ,7.07
C,9/30/17,"$1,660.51 ",$228.62 ,7.26
C,12/31/17,"$1,640.79 ",$201.67 ,8.14
C,3/31/18,"$1,719.24 ",$202.87 ,8.48
C,6/30/18,"$1,711.37 ",$200.97 ,8.52
C,9/30/18,"$1,727.30 ",$197.86 ,8.73
C,12/31/18,"$1,720.31 ",$197.07 ,8.73
C,3/31/19,"$1,761.40 ",$197.02 ,8.94
C,6/30/19,"$1,790.12 ",$198.11 ,9.04
C,9/30/19,"$1,817.73 ",$197.07 ,9.22
C,12/31/19,"$1,757.21 ",$193.95 ,9.06
C,3/31/20,"$2,026.79 ",$192.98 ,10.5
C,6/30/20,"$2,040.41 ",$192.30 ,10.61
C,9/30/20,"$2,039.86 ",$194.60 ,10.48
C,12/31/20,"$2,059.89 ",$200.20 ,10.29
CBOE,12/31/08,$0.00 ,$0.00 ,0
CBOE,3/31/09,$0.00 ,$0.00 ,0
CBOE,6/30/09,$0.00 ,$0.00 ,0
CBOE,9/30/09,$0.00 ,$0.00 ,0
CBOE,12/31/09,$0.38 ,$0.19 ,2.04
CBOE,3/31/10,$0.42 ,$0.21 ,2
CBOE,6/30/10,$0.10 ,$0.42 ,0.23
CBOE,9/30/10,$0.08 ,$0.45 ,0.18
CBOE,12/31/10,$0.08 ,$0.18 ,0.45
CBOE,3/31/11,$0.12 ,$0.20 ,0.58
CBOE,6/30/11,$0.09 ,$0.23 ,0.41
CBOE,9/30/11,$0.10 ,$0.25 ,0.4
CBOE,12/31/11,$0.09 ,$0.24 ,0.39
CBOE,3/31/12,$0.12 ,$0.23 ,0.53
CBOE,6/30/12,$0.10 ,$0.24 ,0.43
CBOE,9/30/12,$0.10 ,$0.28 ,0.37
CBOE,12/31/12,$0.10 ,$0.24 ,0.42
CBOE,3/31/13,$0.14 ,$0.28 ,0.49
CBOE,6/30/13,$0.12 ,$0.31 ,0.39
CBOE,9/30/13,$0.12 ,$0.33 ,0.36
CBOE,12/31/13,$0.16 ,$0.29 ,0.55
CBOE,3/31/14,$0.13 ,$0.29 ,0.44
CBOE,6/30/14,$0.12 ,$0.26 ,0.46
CBOE,9/30/14,$0.12 ,$0.25 ,0.5
CBOE,12/31/14,$0.13 ,$0.25 ,0.54
CBOE,3/31/15,$0.13 ,$0.24 ,0.54
CBOE,6/30/15,$0.14 ,$0.23 ,0.6
CBOE,9/30/15,$0.14 ,$0.26 ,0.53
CBOE,12/31/15,$0.13 ,$0.26 ,0.48
CBOE,3/31/16,$0.15 ,$0.25 ,0.59
CBOE,6/30/16,$0.14 ,$0.27 ,0.53
CBOE,9/30/16,$0.15 ,$0.29 ,0.52
CBOE,12/31/16,$0.16 ,$0.32 ,0.5
CBOE,3/31/17,$2.60 ,$2.75 ,0.95
CBOE,6/30/17,$2.58 ,$2.82 ,0.92
CBOE,9/30/17,$2.35 ,$2.88 ,0.82
CBOE,12/31/17,$2.16 ,$3.11 ,0.69
CBOE,3/31/18,$2.15 ,$3.18 ,0.68
CBOE,6/30/18,$2.17 ,$3.15 ,0.69
CBOE,9/30/18,$1.97 ,$3.15 ,0.62
CBOE,12/31/18,$2.08 ,$3.24 ,0.64
CBOE,3/31/19,$2.05 ,$3.29 ,0.62
CBOE,6/30/19,$1.83 ,$3.33 ,0.55
CBOE,9/30/19,$1.69 ,$3.33 ,0.51
CBOE,12/31/19,$1.76 ,$3.36 ,0.52
CBOE,3/31/20,$1.93 ,$3.31 ,0.58
CBOE,6/30/20,$2.08 ,$3.29 ,0.63
CBOE,9/30/20,$2.73 ,$3.35 ,0.82
CBOE,12/31/20,$3.17 ,$3.35 ,0.95
CBSH,3/31/05,$12.73 ,$1.37 ,9.28
CBSH,6/30/05,$12.74 ,$1.38 ,9.26
CBSH,9/30/05,$12.58 ,$1.36 ,9.23
CBSH,12/31/05,$12.55 ,$1.34 ,9.38
CBSH,3/31/06,$12.41 ,$1.32 ,9.42
CBSH,6/30/06,$12.94 ,$1.33 ,9.72
CBSH,9/30/06,$13.69 ,$1.46 ,9.38
CBSH,12/31/06,$13.79 ,$1.44 ,9.56
CBSH,3/31/07,$13.75 ,$1.45 ,9.51
CBSH,6/30/07,$14.06 ,$1.46 ,9.65
CBSH,9/30/07,$14.53 ,$1.49 ,9.74
CBSH,12/31/07,$14.68 ,$1.53 ,9.61
CBSH,3/31/08,$15.19 ,$1.58 ,9.63
CBSH,6/30/08,$15.41 ,$1.61 ,9.6
CBSH,9/30/08,$15.36 ,$1.60 ,9.61
CBSH,12/31/08,$15.95 ,$1.58 ,10.1
CBSH,3/31/09,$16.34 ,$1.61 ,10.15
CBSH,6/30/09,$16.02 ,$1.70 ,9.43
CBSH,9/30/09,$16.10 ,$1.85 ,8.7
CBSH,12/31/09,$16.23 ,$1.89 ,8.61
CBSH,3/31/10,$16.11 ,$1.93 ,8.36
CBSH,6/30/10,$16.39 ,$1.99 ,8.24
CBSH,9/30/10,$16.71 ,$2.05 ,8.16
CBSH,12/31/10,$16.48 ,$2.02 ,8.14
CBSH,3/31/11,$16.95 ,$2.07 ,8.19
CBSH,6/30/11,$17.44 ,$2.13 ,8.18
CBSH,9/30/11,$18.51 ,$2.13 ,8.69
CBSH,12/31/11,$18.48 ,$2.17 ,8.51
CBSH,3/31/12,$18.33 ,$2.20 ,8.33
CBSH,6/30/12,$18.51 ,$2.23 ,8.3
CBSH,9/30/12,$18.57 ,$2.31 ,8.05
CBSH,12/31/12,$19.99 ,$2.17 ,9.2
CBSH,3/31/13,$20.05 ,$2.18 ,9.2
CBSH,6/30/13,$19.80 ,$2.11 ,9.4
CBSH,9/30/13,$20.27 ,$2.18 ,9.29
CBSH,12/31/13,$20.86 ,$2.21 ,9.42
CBSH,3/31/14,$20.56 ,$2.27 ,9.05
CBSH,6/30/14,$20.74 ,$2.26 ,9.17
CBSH,9/30/14,$20.41 ,$2.29 ,8.92
CBSH,12/31/14,$21.66 ,$2.33 ,9.28
CBSH,3/31/15,$21.64 ,$2.41 ,9
CBSH,6/30/15,$21.39 ,$2.32 ,9.24
CBSH,9/30/15,$21.60 ,$2.37 ,9.11
CBSH,12/31/15,$22.24 ,$2.37 ,9.39
CBSH,3/31/16,$22.06 ,$2.45 ,9.01
CBSH,6/30/16,$22.18 ,$2.53 ,8.78
CBSH,9/30/16,$22.17 ,$2.56 ,8.66
CBSH,12/31/16,$23.14 ,$2.50 ,9.25
CBSH,3/31/17,$22.75 ,$2.56 ,8.87
CBSH,6/30/17,$22.45 ,$2.63 ,8.54
CBSH,9/30/17,$22.28 ,$2.70 ,8.24
CBSH,12/31/17,$22.12 ,$2.72 ,8.14
CBSH,3/31/18,$21.91 ,$2.71 ,8.1
CBSH,6/30/18,$21.75 ,$2.77 ,7.85
CBSH,9/30/18,$22.26 ,$2.81 ,7.93
CBSH,12/31/18,$22.53 ,$2.94 ,7.67
CBSH,3/31/19,$21.99 ,$3.04 ,7.23
CBSH,6/30/19,$22.60 ,$3.17 ,7.13
CBSH,9/30/19,$22.77 ,$3.11 ,7.33
CBSH,12/31/19,$22.93 ,$3.14 ,7.31
CBSH,3/31/20,$23.54 ,$3.25 ,7.24
CBSH,6/30/20,$27.14 ,$3.36 ,8.08
CBSH,9/30/20,$28.15 ,$3.31 ,8.51
CBSH,12/31/20,$29.52 ,$3.40 ,8.68
CFG,12/31/11,$0.00 ,$0.00 ,0
CFG,12/31/12,$102.92 ,$24.13 ,4.27
CFG,6/30/13,$0.00 ,$0.00 ,0
CFG,9/30/13,$0.00 ,$0.00 ,0
CFG,12/31/13,$0.00 ,,0
CFG,3/31/14,$0.00 ,$0.00 ,0
CFG,6/30/14,$110.68 ,$19.60 ,5.65
CFG,9/30/14,$111.96 ,$19.38 ,5.78
CFG,12/31/14,$113.59 ,$19.27 ,5.9
CFG,3/31/15,$116.97 ,$19.56 ,5.98
CFG,6/30/15,$117.67 ,$19.59 ,6.01
CFG,9/30/15,$115.85 ,$19.60 ,5.91
CFG,12/31/15,$118.56 ,$19.65 ,6.04
CFG,3/31/16,$120.11 ,$19.97 ,6.02
CFG,6/30/16,$124.96 ,$20.23 ,6.18
CFG,9/30/16,$126.83 ,$20.18 ,6.29
CFG,12/31/16,$129.77 ,$19.75 ,6.57
CFG,3/31/17,$130.44 ,$19.85 ,6.57
CFG,6/30/17,$131.34 ,$20.06 ,6.55
CFG,9/30/17,$131.25 ,$20.11 ,6.53
CFG,12/31/17,$132.07 ,$20.27 ,6.52
CFG,3/31/18,$133.39 ,$20.06 ,6.65
CFG,6/30/18,$134.96 ,$20.47 ,6.59
CFG,9/30/18,$138.32 ,$20.28 ,6.82
CFG,12/31/18,$139.70 ,$20.82 ,6.71
CFG,3/31/19,$139.81 ,$21.53 ,6.49
CFG,6/30/19,$140.73 ,$22.02 ,6.39
CFG,9/30/19,$142.51 ,$21.85 ,6.52
CFG,12/31/19,$143.53 ,$22.20 ,6.47
CFG,3/31/20,$154.77 ,$21.95 ,7.05
CFG,6/30/20,$157.46 ,$22.42 ,7.02
CFG,9/30/20,$156.76 ,$22.47 ,6.98
CFG,12/31/20,$160.68 ,$22.67 ,7.09
CFR,3/31/05,$9.04 ,$0.81 ,11.19
CFR,6/30/05,$9.07 ,$0.88 ,10.32
CFR,9/30/05,$9.38 ,$0.90 ,10.46
CFR,12/31/05,$10.76 ,$0.98 ,10.95
CFR,3/31/06,$10.57 ,$1.01 ,10.46
CFR,6/30/06,$10.38 ,$1.03 ,10.09
CFR,9/30/06,$10.53 ,$1.12 ,9.39
CFR,12/31/06,$11.85 ,$1.38 ,8.6
CFR,3/31/07,$11.76 ,$1.42 ,8.29
CFR,6/30/07,$11.59 ,$1.36 ,8.54
CFR,9/30/07,$11.78 ,$1.39 ,8.5
CFR,12/31/07,$12.01 ,$1.48 ,8.13
CFR,3/31/08,$12.22 ,$1.58 ,7.75
CFR,6/30/08,$12.13 ,$1.54 ,7.86
CFR,9/30/08,$12.45 ,$1.61 ,7.73
CFR,12/31/08,$13.27 ,$1.76 ,7.53
CFR,3/31/09,$13.53 ,$1.80 ,7.5
CFR,6/30/09,$13.99 ,$1.80 ,7.78
CFR,9/30/09,$14.25 ,$1.91 ,7.48
CFR,12/31/09,$14.39 ,$1.89 ,7.6
CFR,3/31/10,$14.81 ,$1.95 ,7.6
CFR,6/30/10,$15.02 ,$2.04 ,7.36
CFR,9/30/10,$15.62 ,$2.12 ,7.38
CFR,12/31/10,$15.56 ,$2.06 ,7.55
CFR,3/31/11,$15.84 ,$2.10 ,7.55
CFR,6/30/11,$16.30 ,$2.18 ,7.49
CFR,9/30/11,$17.24 ,$2.25 ,7.67
CFR,12/31/11,$18.03 ,$2.28 ,7.9
CFR,3/31/12,$18.10 ,$2.32 ,7.8
CFR,6/30/12,$18.50 ,$2.36 ,7.83
CFR,9/30/12,$19.43 ,$2.42 ,8.03
CFR,12/31/12,$20.71 ,$2.42 ,8.57
CFR,3/31/13,$20.05 ,$2.44 ,8.21
CFR,6/30/13,$20.14 ,$2.43 ,8.3
CFR,9/30/13,$21.05 ,$2.48 ,8.48
CFR,12/31/13,$21.80 ,$2.51 ,8.67
CFR,3/31/14,$22.12 ,$2.57 ,8.62
CFR,6/30/14,$23.75 ,$2.77 ,8.57
CFR,9/30/14,$24.55 ,$2.82 ,8.71
CFR,12/31/14,$25.43 ,$2.85 ,8.92
CFR,3/31/15,$25.25 ,$2.91 ,8.67
CFR,6/30/15,$24.91 ,$2.87 ,8.67
CFR,9/30/15,$25.44 ,$2.91 ,8.76
CFR,12/31/15,$25.68 ,$2.89 ,8.88
CFR,3/31/16,$25.41 ,$2.99 ,8.49
CFR,6/30/16,$25.84 ,$3.14 ,8.24
CFR,9/30/16,$26.44 ,$3.16 ,8.36
CFR,12/31/16,$27.19 ,$3.00 ,9.06
CFR,3/31/17,$27.43 ,$3.10 ,8.86
CFR,6/30/17,$26.98 ,$3.22 ,8.37
CFR,9/30/17,$27.80 ,$3.19 ,8.72
CFR,12/31/17,$28.45 ,$3.30 ,8.63
CFR,3/31/18,$28.22 ,$3.24 ,8.7
CFR,6/30/18,$27.38 ,$3.31 ,8.27
CFR,9/30/18,$27.92 ,$3.31 ,8.44
CFR,12/31/18,$28.92 ,$3.37 ,8.59
CFR,3/31/19,$28.07 ,$3.59 ,7.81
CFR,6/30/19,$28.08 ,$3.74 ,7.51
CFR,9/30/19,$29.22 ,$3.88 ,7.53
CFR,12/31/19,$30.12 ,$3.91 ,7.7
CFR,3/31/20,$30.32 ,$3.83 ,7.92
CFR,6/30/20,$35.37 ,$4.01 ,8.82
CFR,9/30/20,$36.02 ,$4.09 ,8.82
CFR,12/31/20,$38.10 ,$4.29 ,8.87
CG,12/31/08,$0.00 ,$0.00 ,0
CG,12/31/09,$1.80 ,$0.71 ,2.52
CG,6/30/10,$0.00 ,$0.00 ,0
CG,9/30/10,$0.00 ,$0.00 ,0
CG,12/31/10,$0.00 ,,0
CG,3/31/11,$0.00 ,$0.00 ,0
CG,6/30/11,$15.48 ,$2.21 ,7
CG,9/30/11,$15.85 ,$9.59 ,1.65
CG,12/31/11,$15.49 ,$9.17 ,1.69
CG,3/31/12,$19.34 ,$9.85 ,1.96
CG,6/30/12,$18.85 ,$10.74 ,1.76
CG,9/30/12,$19.35 ,$10.70 ,1.81
